stcofips,state_name,state_abbr,state_fips,county_name,county_type,county_fips,population,composite_risk_score,composite_risk_rating,flood_risk,flood_risk_rating,wildfire_risk,wildfire_risk_rating,heat_risk,heat_risk_rating,storm_risk,storm_risk_rating,winter_storm_risk,winter_storm_risk_rating,source,methodology_note,nri_version
01001,Alabama,AL,01,Autauga,County,001,58764,58.0,Relatively Low,66.0,Relatively Low,46.0,Very Low,86.0,Relatively Moderate,66.0,Relatively Low,27.0,Relatively Low,"FEMA National Risk Index v1.20, December 2025",County-level FEMA NRI hazard Risk Index Scores mapped to app categories using average hazard scores for educational planning use.,December 2025
01003,Alabama,AL,01,Baldwin,County,003,231365,97.0,Relatively High,89.0,Relatively High,91.0,Relatively Moderate,92.0,Relatively Moderate,92.0,Relatively High,63.0,Relatively Low,"FEMA National Risk Index v1.20, December 2025",County-level FEMA NRI hazard Risk Index Scores mapped to app categories using average hazard scores for educational planning use.,December 2025
01005,Alabama,AL,01,Barbour,County,005,25160,48.0,Relatively Low,51.0,Relatively Low,49.0,Very Low,69.0,Relatively Low,63.0,Relatively Moderate,18.0,Very Low,"FEMA National Risk Index v1.20, December 2025",County-level FEMA NRI hazard Risk Index Scores mapped to app categories using average hazard scores for educational planning use.,December 2025
01007,Alabama,AL,01,Bibb,County,007,22239,39.0,Very Low,49.0,Relatively Low,49.0,Very Low,60.0,Relatively Low,48.0,Very Low,25.0,Relatively Low,"FEMA National Risk Index v1.20, December 2025",County-level FEMA NRI hazard Risk Index Scores mapped to app categories using average hazard scores for educational planning use.,December 2025
01009,Alabama,AL,01,Blount,County,009,58992,68.0,Relatively Low,69.0,Relatively Low,65.0,Relatively Low,69.0,Relatively Low,78.0,Relatively Moderate,43.0,Relatively Low,"FEMA National Risk Index v1.20, December 2025",County-level FEMA NRI hazard Risk Index Scores mapped to app categories using average hazard scores for educational planning use.,December 2025
01011,Alabama,AL,01,Bullock,County,011,10326,25.0,Very Low,20.0,Very Low,46.0,Very Low,50.0,Relatively Low,62.0,Relatively Low,10.0,Very Low,"FEMA National Risk Index v1.20, December 2025",County-level FEMA NRI hazard Risk Index Scores mapped to app categories using average hazard scores for educational planning use.,December 2025
01013,Alabama,AL,01,Butler,County,013,19015,45.0,Relatively Low,36.0,Relatively Low,31.0,Very Low,56.0,Relatively Low,75.0,Relatively Moderate,18.0,Very Low,"FEMA National Risk Index v1.20, December 2025",County-level FEMA NRI hazard Risk Index Scores mapped to app categories using average hazard scores for educational planning use.,December 2025
01015,Alabama,AL,01,Calhoun,County,015,116250,88.0,Relatively Moderate,90.0,Relatively Moderate,82.0,Relatively Low,78.0,Relatively Low,86.0,Relatively High,54.0,Relatively Low,"FEMA National Risk Index v1.20, December 2025",County-level FEMA NRI hazard Risk Index Scores mapped to app categories using average hazard scores for educational planning use.,December 2025
01017,Alabama,AL,01,Chambers,County,017,34738,47.0,Relatively Low,57.0,Relatively Low,52.0,Very Low,83.0,Relatively Moderate,56.0,Relatively Moderate,29.0,Relatively Low,"FEMA National Risk Index v1.20, December 2025",County-level FEMA NRI hazard Risk Index Scores mapped to app categories using average hazard scores for educational planning use.,December 2025
01019,Alabama,AL,01,Cherokee,County,019,24933,63.0,Relatively Low,70.0,Relatively Low,68.0,Relatively Low,45.0,Relatively Low,64.0,Relatively Low,37.0,Relatively Low,"FEMA National Risk Index v1.20, December 2025",County-level FEMA NRI hazard Risk Index Scores mapped to app categories using average hazard scores for educational planning use.,December 2025
