zip,county_fips,stcofips,city,state_abbr,county_name,res_ratio,bus_ratio,oth_ratio,tot_ratio,source,data_quarter
00501,103,36103,HOLTSVILLE,,,0.0,1.0,0.0,1.0,HUD-USPS ZIP Code Crosswalk,2025Q4
00601,001,72001,ADJUNTAS,,,0.9974511469838573,0.9949494949494949,0.9879518072289156,0.9970528928183652,HUD-USPS ZIP Code Crosswalk,2025Q4
00601,081,72081,ADJUNTAS,,,0.002548853016142736,0.005050505050505051,0.012048192771084338,0.002947107181634869,HUD-USPS ZIP Code Crosswalk,2025Q4
00602,003,72003,AGUADA,,,0.9994162775183456,0.9989837398373984,1.0,0.9993948562783661,HUD-USPS ZIP Code Crosswalk,2025Q4
00602,117,72117,AGUADA,,,0.0005837224816544363,0.0,0.0,0.000529500756429652,HUD-USPS ZIP Code Crosswalk,2025Q4
00602,005,72005,AGUADA,,,0.0,0.0010162601626016261,0.0,7.5642965204236e-05,HUD-USPS ZIP Code Crosswalk,2025Q4
00603,005,72005,AGUADILLA,,,0.998488039310978,0.9982253771073647,1.0,0.9985188110990422,HUD-USPS ZIP Code Crosswalk,2025Q4
00603,071,72071,AGUADILLA,,,0.0008639775365840488,0.0008873114463176575,0.0,0.0008393403772094401,HUD-USPS ZIP Code Crosswalk,2025Q4
00603,099,72099,AGUADILLA,,,0.0006479831524380366,0.0008873114463176575,0.0,0.0006418485237483953,HUD-USPS ZIP Code Crosswalk,2025Q4
00604,005,72005,AGUADILLA,,,1.0,1.0,1.0,1.0,HUD-USPS ZIP Code Crosswalk,2025Q4
00605,005,72005,AGUADILLA,,,1.0,1.0,1.0,1.0,HUD-USPS ZIP Code Crosswalk,2025Q4
00606,093,72093,MARICAO,,,1.0,1.0,1.0,1.0,HUD-USPS ZIP Code Crosswalk,2025Q4
00610,011,72011,ANASCO,,,1.0,1.0,1.0,1.0,HUD-USPS ZIP Code Crosswalk,2025Q4
00611,141,72141,ANGELES,,,1.0,1.0,1.0,1.0,HUD-USPS ZIP Code Crosswalk,2025Q4
00612,013,72013,ARECIBO,,,0.9903361344537815,1.0,0.9985443959243085,0.9914450781423598,HUD-USPS ZIP Code Crosswalk,2025Q4
00612,065,72065,ARECIBO,,,0.0067226890756302525,0.0,0.0,0.005925487000962891,HUD-USPS ZIP Code Crosswalk,2025Q4
00612,054,72054,ARECIBO,,,0.0015546218487394957,0.0,0.0,0.0013702688689726688,HUD-USPS ZIP Code Crosswalk,2025Q4
00612,017,72017,ARECIBO,,,0.001176470588235294,0.0,0.0,0.001036960225168506,HUD-USPS ZIP Code Crosswalk,2025Q4
00612,141,72141,ARECIBO,,,0.0002100840336134454,0.0,0.001455604075691412,0.00022220576253610843,HUD-USPS ZIP Code Crosswalk,2025Q4
00613,013,72013,ARECIBO,,,1.0,1.0,1.0,1.0,HUD-USPS ZIP Code Crosswalk,2025Q4
00614,013,72013,ARECIBO,,,1.0,1.0,1.0,1.0,HUD-USPS ZIP Code Crosswalk,2025Q4
00616,013,72013,BAJADERO,,,1.0,1.0,1.0,1.0,HUD-USPS ZIP Code Crosswalk,2025Q4
00617,017,72017,BARCELONETA,,,0.9989979047098478,1.0,1.0,0.9990648644053388,HUD-USPS ZIP Code Crosswalk,2025Q4
00617,091,72091,BARCELONETA,,,0.0007287965746560992,0.0,0.0,0.0006800986142990734,HUD-USPS ZIP Code Crosswalk,2025Q4
00617,054,72054,BARCELONETA,,,0.00027329871549603714,0.0,0.0,0.0002550369803621525,HUD-USPS ZIP Code Crosswalk,2025Q4
00622,023,72023,BOQUERON,,,1.0,1.0,1.0,1.0,HUD-USPS ZIP Code Crosswalk,2025Q4
00623,023,72023,CABO ROJO,,,0.9986670898127579,0.9989200863930886,1.0,0.998696682464455,HUD-USPS ZIP Code Crosswalk,2025Q4
00623,097,72097,CABO ROJO,,,0.0013329101872421453,0.0010799136069114472,0.0,0.0013033175355450237,HUD-USPS ZIP Code Crosswalk,2025Q4
00624,111,72111,PENUELAS,,,0.9989423585404548,0.9796437659033079,1.0,0.9979994998749687,HUD-USPS ZIP Code Crosswalk,2025Q4
00624,113,72113,PENUELAS,,,0.0010576414595452142,0.0,0.0,0.001000250062515629,HUD-USPS ZIP Code Crosswalk,2025Q4
00624,059,72059,PENUELAS,,,0.0,0.020356234096692113,0.0,0.001000250062515629,HUD-USPS ZIP Code Crosswalk,2025Q4
00627,027,72027,CAMUY,,,1.0,1.0,1.0,1.0,HUD-USPS ZIP Code Crosswalk,2025Q4
00631,081,72081,CASTANER,,,0.0,0.0,1.0,1.0,HUD-USPS ZIP Code Crosswalk,2025Q4
00637,121,72121,SABANA GRANDE,,,1.0,1.0,1.0,1.0,HUD-USPS ZIP Code Crosswalk,2025Q4
00638,039,72039,CIALES,,,0.6816088424930918,0.8104575163398693,0.9824561403508771,0.6898356841646066,HUD-USPS ZIP Code Crosswalk,2025Q4
00638,107,72107,CIALES,,,0.3183911575069082,0.1895424836601307,0.017543859649122806,0.31016431583539333,HUD-USPS ZIP Code Crosswalk,2025Q4
00641,141,72141,UTUADO,,,0.9960760639903411,1.0,1.0,0.9963774846739736,HUD-USPS ZIP Code Crosswalk,2025Q4
00641,113,72113,UTUADO,,,0.00392393600965892,0.0,0.0,0.0036225153260263793,HUD-USPS ZIP Code Crosswalk,2025Q4
00646,051,72051,DORADO,,,0.9952603515239287,0.9907216494845361,1.0,0.9950343305541932,HUD-USPS ZIP Code Crosswalk,2025Q4
00646,143,72143,DORADO,,,0.0029622802975445986,0.003092783505154639,0.0,0.0029426189308484553,HUD-USPS ZIP Code Crosswalk,2025Q4
00646,137,72137,DORADO,,,0.000921598314791653,0.005154639175257732,0.0,0.0011647866601275135,HUD-USPS ZIP Code Crosswalk,2025Q4
